,State_ab,City,Zip_Code,Area_Code,Lat,Lon,Mean,Median,Stdev,Households,Mean-Binned,Median-Binned,MeanLow,MeanMedium,MeanHigh,MedianLow,MedianMedium,MedianHigh
4211,IL,Johnsburg,60051,815,42.403037,-88.210887,0.297329981658189,-0.2679511123760829,115144.734956567+0i,1288,MeanMedium,MedianMedium,0,1,0,0,1,0
4212,IL,Pittsfield,62363,217,39.600547,-90.81014,0.1542111771394743,-0.32941044287605187,119263.702031163+0i,1869,MeanMedium,MedianMedium,0,1,0,0,1,0
4213,IL,Plainfield,60544,815,41.630544,-88.245017,1.6732584574333818,0.6952557286458869,174381.954941612+0i,11589,MeanMedium,MedianMedium,0,1,0,0,1,0
4214,IL,Plano,60545,630,41.678742,-88.53720899999999,0.19187548441834262,-0.2787807860288187,111338.566214527+0i,3887,MeanMedium,MedianMedium,0,1,0,0,1,0
4215,IL,Pleasant Hill,62366,217,39.44323,-90.872883,-0.7377560945141409,-0.6279538344671413,61374.5890834192+0i,421,MeanLow,MedianLow,1,0,0,1,0,0
4216,IL,Augusta,62311,217,40.292121,-90.916303,-0.7488666794282633,-0.6296448053245145,61450.0402044323+0i,200,MeanLow,MedianLow,1,0,0,1,0,0
4217,IL,Pocahontas,62275,618,38.824389000000004,-89.53876,-0.6768162472677015,-0.6392186844434657,64063.827959162+0i,257,MeanMedium,MedianLow,0,1,0,1,0,0
4218,IL,Pontiac,61764,815,40.887557,-88.641846,0.2035919471888949,-0.318356964256899,114903.651131013+0i,4282,MeanMedium,MedianMedium,0,1,0,0,1,0
4219,IL,Dallas City,62330,217,40.628606,-91.210663,-0.8106527167861959,-0.6759973005913331,0+42748.1170091179i,53,MeanLow,MedianLow,1,0,0,1,0,0
4220,IL,Cary,60013,847,42.244026,-88.195201,2.50711589710811,2.2807398451811984,206656.832318617+0i,170,MeanHigh,MedianHigh,0,0,1,0,0,1
4221,IL,Leclaire,52753,563,41.616562,-90.327309,0.9199021935522989,0.05116990251612907,144538.388579155+0i,704,MeanMedium,MedianMedium,0,1,0,0,1,0
4222,IL,Potomac,61865,217,40.3067,-87.797614,-0.3208427930930898,-0.4493326040478505,79361.575708278+0i,259,MeanMedium,MedianMedium,0,1,0,0,1,0
4223,IL,Prairie Du Rocher,62277,618,38.081708,-90.097565,-0.4699221184416059,-0.5709208688585317,76469.2004517759+0i,246,MeanMedium,MedianLow,0,1,0,1,0,0
